from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP
12501	12520	JAX00541071	JAX00114355	20	145555024	145702403	chr3	6.31131026315653
12521	12540	backupUNC030271400	JAX00114371	20	145705166	145920517	chr3	6.31737917354917
12541	12560	JAX00541155	UNC6476131	20	145924648	146091874	chr3	6.317171608087
12561	12580	JAX00541190	JAX00541220	20	146110757	146272086	chr3	6.31732348712061
12581	12600	JAX00541221	JAX00541266	20	146278125	146519882	chr3	6.31773044746024
12601	12620	JAX00541267	JAX00541298	20	146519974	146643670	chr3	6.3180212108562
12621	12640	JAX00114426	JAX00114439	20	146650043	146821942	chr3	6.31806842197162
12641	12660	JAX00541365	JAX00114452	20	146839239	147004709	chr3	6.31831041371135
12661	12680	JAX00114453	JAX00541474	20	147013576	147140559	chr3	6.31772157223285
12681	12700	JAX00541477	JAX00541540	20	147143785	147411102	chr3	6.31661668377261
12701	12720	JAX00541542	UNC6498574	20	147448640	147632910	chr3	6.25698456838883
12721	12740	JAX00541585	UNC6499664	20	147644510	147714551	chr3	6.24064403542322
12741	12760	JAX00114507	JAX00114521	20	147727998	147924588	chr3	6.16004851324522
12761	12780	UNC6502303	JAX00541662	20	147932021	148076471	chr3	6.10120754309317
12781	12800	UNC6504622	JAX00114543	20	148084366	148225951	chr3	6.23209094740635
12801	12820	JAX00541707	JAX00541742	20	148227531	148342887	chr3	6.18098497959387
12821	12840	JAX00541743	UNC6509758	20	148344112	148428431	chr3	6.16215307130625
12841	12860	UNC6509961	JAX00541812	20	148448725	148568702	chr3	6.16342738430499
12861	12880	JAX00114570	UNC6512687	20	148576892	148701615	chr3	6.26236445562713
12881	12900	JAX00114581	JAX00114593	20	148702269	148862444	chr3	6.29048033921103
12901	12920	UNC6514813	UNC6515982	20	148887085	148991889	chr3	6.29683956717094
12921	12940	UNC6516816	JAX00541985	20	149057632	149289562	chr3	6.28097621539241
12941	12960	JAX00541986	UNC6521147	20	149289616	149457806	chr3	6.27338631871979
12961	12980	JAX00542017	JAX00542047	20	149476617	149610553	chr3	6.27044979281359
12981	13000	JAX00222089	JAX00542083	20	149618073	149965794	chr3	6.26562989338497
13001	13020	UNC6527195	JAX00542105	20	149970951	150125649	chr3	6.2677817125559
13021	13040	JAX00542107	UNC6531003	20	150128723	150273807	chr3	6.28503764909117
13041	13060	JAX00542127	UNC6533075	20	150275356	150408701	chr3	6.29603596446213
13061	13080	UNC6533211	JAX00542164	20	150423355	150528330	chr3	6.30703391413994
13081	13100	UNC6534570	JAX00114727	20	150534280	150663921	chr3	6.31666626540582
13101	13120	JAX00542188	JAX00114735	20	150665979	150780192	chr3	6.32665084530943
13121	13140	JAX00542210	JAX00114752	20	150782623	151002055	chr3	6.36293889419441
13141	13160	UNC6540591	JAX00542272	20	151002993	151220615	chr3	6.36205009917436
13161	13180	UNC6543456	JAX00542312	20	151222081	151474595	chr3	6.22840050405504
13181	13200	JAX00542314	JAX00542335	20	151479497	151718791	chr3	6.20883592238543
13201	13220	JAX00542338	JAX00114819	20	151725188	151930834	chr3	6.15109567733016
13221	13240	JAX00542373	UNC6553364	20	151953616	152132653	chr3	6.06934794911253
13241	13260	JAX00542406	UNC6556071	20	152139210	152351909	chr3	6.0448121668862
13261	13280	JAX00222159	JAX00542464	20	152361853	152564175	chr3	6.04284472321928
13281	13300	backupUNC030289277	JAX00542494	20	152565999	152733318	chr3	5.97372865277392
13301	13320	UNC6562978	UNC6565438	20	152741061	152883722	chr3	5.97370800396274
13321	13340	JAX00542536	JAX00542584	20	152884982	153040700	chr3	5.98469608088832
13341	13360	JAX00542587	JAX00114908	20	153070300	153233686	chr3	5.98869850358449
13361	13380	UNC6571451	JAX00542642	20	153238433	153405117	chr3	6.10989793873596
13381	13400	UNC6574778	UNC6578037	20	153405919	153585270	chr3	6.14725126387668
13401	13420	UNC6578459	JAX00542718	20	153615988	153849461	chr3	6.17274927620249
13421	13440	JAX00114954	UNC6585584	20	153857807	154090760	chr3	6.58809641152261
13441	13460	JAX00542748	UNC6587802	20	154091682	154317184	chr3	6.59473521453323
13461	13480	JAX00542787	JAX00542820	20	154336714	154544121	chr3	6.59211160122463
13481	13500	JAX00542821	JAX00542862	20	154544773	154770043	chr3	6.56138548581394
13501	13520	JAX00542863	JAX00542899	20	154776491	155045500	chr3	6.55851258839453
13521	13540	JAX00542900	UNC6598797	20	155047349	155272285	chr3	6.55649293630834
13541	13560	backupUNC030566351	UNC6600912	20	155292974	155496035	chr3	6.63669089901957
13561	13580	UNC6601203	JAX00543009	20	155524872	155686624	chr3	6.61513518318358
13581	13600	JAX00115092	UNC6605242	20	155693807	155864164	chr3	6.36330304391489
13601	13620	UNC6605517	JAX00115123	20	155890278	156117797	chr3	6.26799779235708
13621	13640	UNC6607616	UNC6609776	20	156118846	156334736	chr3	6.26550688926727
13641	13660	JAX00115142	JAX00543175	20	156354419	156519797	chr3	6.26280402715589
13661	13680	JAX00543176	JAX00115167	20	156525251	156705692	chr3	6.26020972607964
13681	13700	JAX00543220	JAX00543262	20	156709268	156894571	chr3	6.11984043691925
13701	13720	UNC6616410	JAX00115209	20	156903399	157249693	chr3	6.05873972856603
13721	13740	UNC6619705	JAX00543334	20	157259368	157500091	chr3	6.0680664786061
13741	13760	backupJAX00115227	JAX00543376	20	157500320	157754851	chr3	6.206081569851
13761	13780	JAX00543377	UNC6626900	20	157768048	158114101	chr3	6.1990491076789
13781	13800	JAX00115273	UNC6628779	20	158141823	158408103	chr3	6.19251723972821
13801	13820	JAX00115294	JAX00543485	20	158410016	158680585	chr3	6.18641167158137
13821	13840	JAX00115314	JAX00543505	20	158681198	158920550	chr3	6.18266384353035
1	20	JAX00115398	JAX00543648	20	3321326	3669108	chr4	5.03530967177091
21	40	UNC040001211	JAX00543693	20	3679243	3945530	chr4	4.99596843505836
41	60	UNC6641184	JAX00543726	20	3963173	4265207	chr4	4.99869691320237
61	80	JAX00543727	JAX00115485	20	4265560	4499806	chr4	5.06964636778115
81	100	JAX00543776	JAX00115500	20	4515836	4700501	chr4	5.11634994365268
101	120	JAX00115501	JAX00115518	20	4700641	4936482	chr4	4.71935170206981
121	140	JAX00222354	JAX00543890	20	4952156	5228789	chr4	4.71429542014944
141	160	JAX00543892	JAX00115568	20	5250714	5565119	chr4	4.68647927121052
161	180	JAX00543917	UNC6664886	20	5565429	6021129	chr4	4.67755774537953
181	200	JAX00543974	JAX00544023	20	6022917	6150755	chr4	4.67190189846861
201	220	JAX00544025	JAX00544084	20	6150993	6336346	chr4	4.67820157070526
221	240	JAX00115624	JAX00115642	20	6336540	6587512	chr4	4.70768375210955
241	260	JAX00544141	JAX00115658	20	6600384	6797458	chr4	5.24993857940275
261	280	JAX00544176	JAX00544217	20	6838906	7066603	chr4	5.23984713644494
281	300	JAX00544218	JAX00544287	20	7070063	7160688	chr4	5.23357384264727
301	320	JAX00544288	JAX00222415	20	7163056	7384935	chr4	5.2274636358457
321	340	JAX00544328	JAX00544359	20	7388213	7680328	chr4	5.26182645749692
341	360	JAX00115726	backupUNC040474414	20	7699191	8033424	chr4	5.36858125646927
361	380	JAX00544429	JAX00544472	20	8056807	8270518	chr4	5.23935445308195
381	400	JAX00544473	JAX00544535	20	8292261	8524943	chr4	5.24114730882507
401	420	JAX00544537	JAX00544578	20	8525675	8815477	chr4	5.24229312150708
421	440	JAX00544580	JAX00115819	20	8819103	8944248	chr4	5.24332846082226
441	460	UNC6702558	JAX00544658	20	8949961	9159319	chr4	5.02987508765136
461	480	JAX00544662	JAX00544713	20	9168677	9281538	chr4	5.1941114715595
481	500	UNC6708481	JAX00115858	20	9285770	9458971	chr4	5.24918297024048
501	520	UNC6711442	JAX00544784	20	9467289	9603755	chr4	5.22834151167264
521	540	JAX00544785	JAX00115886	20	9603833	9837107	chr4	5.0444597442635
541	560	JAX00544857	JAX00544907	20	9838689	10017599	chr4	5.01447044366823
561	580	JAX00115899	UNC6720569	20	10017902	10158031	chr4	5.01296083718282
581	600	JAX00544937	JAX00544982	20	10161255	10234123	chr4	5.01324702249074
601	620	JAX00544989	JAX00115929	20	10243398	10408106	chr4	5.01068338285576
621	640	UNC6723562	JAX00545059	20	10427445	10702318	chr4	5.00615693367702
641	660	JAX00545060	JAX00545097	20	10702789	10845470	chr4	5.03788004346451
661	680	JAX00115962	JAX00545160	20	10858366	11173326	chr4	5.25125740715248
681	700	UNC6733822	JAX00545185	20	11173681	11336421	chr4	5.20471244620939
701	720	JAX00115999	JAX00116020	20	11346459	11630817	chr4	5.14219608466186
721	740	UNC6740182	JAX00545275	20	11633966	11915910	chr4	5.13594326153073
741	760	UNC6744082	JAX00116060	20	11921094	12215703	chr4	5.12379444089285
761	780	JAX00116062	JAX00116074	20	12223800	12389922	chr4	5.09599005467414
781	800	JAX00545348	JAX00545389	20	12394340	12598083	chr4	5.142660442887
801	820	JAX00545391	JAX00545422	20	12602243	12872472	chr4	5.11321320651844
821	840	JAX00545424	JAX00116122	20	12890211	13033363	chr4	5.11140500379954
841	860	JAX00545458	JAX00116135	20	13041249	13206063	chr4	5.10984590974302
861	880	JAX00545483	JAX00545514	20	13230597	13406351	chr4	5.10839144638135
881	900	JAX00545519	JAX00545560	20	13427059	13634582	chr4	5.10751511907934
901	920	JAX00545563	UNC6767133	20	13655051	13836679	chr4	4.6419258414356
921	940	JAX00116183	UNC6770440	20	13840285	14086575	chr4	4.92483791971788
941	960	JAX00545639	JAX00545683	20	14108520	14272087	chr4	4.9018503262169
961	980	JAX00116216	UNC6776730	20	14289150	14546945	chr4	5.07223764965106
981	1000	JAX00545734	JAX00545766	20	14550648	14812426	chr4	4.92164544991865
1001	1020	JAX00116257	JAX00545812	20	14822333	15073474	chr4	5.00821979842699
1021	1040	JAX00545820	JAX00545848	20	15084152	15229460	chr4	5.03900517704684
1041	1060	JAX00545849	JAX00116303	20	15230892	15453027	chr4	4.90656871250705
1061	1080	UNC6789706	JAX00545929	20	15475190	15696585	chr4	4.96495626157486
1081	1100	JAX00545932	JAX00545978	20	15700696	15976176	chr4	4.96457973503592
1101	1120	JAX00116342	JAX00546021	20	15978100	16330124	chr4	4.9743258631289
1121	1140	backupJAX00116373	JAX00546059	20	16374041	16648312	chr4	4.9650159038794
1141	1160	JAX00546060	JAX00546108	20	16652981	17015339	chr4	4.90388861720068
1161	1180	JAX00116421	JAX00546144	20	17017786	17419920	chr4	4.91870210703223
1181	1200	JAX00546145	JAX00116471	20	17420406	17701401	chr4	4.87284297443844
1201	1220	JAX00116472	JAX00116489	20	17701768	17929894	chr4	4.87741604867897
1221	1240	JAX00546205	JAX00116512	20	17937058	18232087	chr4	4.87066858225235
1241	1260	JAX00116516	JAX00116534	20	18280189	18525152	chr4	5.12882211191241
1261	1280	JAX00116535	JAX00222687	20	18545882	18962877	chr4	5.4544294625817
1281	1300	JAX00222688	backupUNC041770741	20	18963023	19387350	chr4	5.19717058613473
1301	1320	JAX00546355	JAX00546380	20	19390227	19576754	chr4	5.24079118688129
1321	1340	JAX00116613	UNC6844542	20	19581111	19783212	chr4	5.27678855841641
1341	1360	UNC6844649	JAX00116642	20	19789084	20032628	chr4	5.44096227684146
1361	1380	JAX00546425	JAX00546443	20	20032755	20167761	chr4	5.35935316837736
1381	1400	JAX00546447	JAX00546470	20	20174071	20399346	chr4	5.35263392775953
1401	1420	JAX00546471	UNC6857348	20	20399584	20654091	chr4	5.21181868744226
1421	1440	JAX00546495	JAX00546541	20	20654252	21047703	chr4	5.62739458710327
1441	1460	JAX00116719	JAX00222738	20	21067022	21319454	chr4	5.49678077399914
1461	1480	JAX00546571	JAX00222747	20	21319619	21608640	chr4	5.64184106542518
1481	1500	JAX00116759	JAX00116773	20	21609729	21812132	chr4	5.68178458037421
1501	1520	JAX00116776	JAX00546645	20	21869564	22080902	chr4	5.60458302520804
1521	1540	UNC6875976	UNC6879911	20	22112029	22440636	chr4	5.30097060935566
1541	1560	JAX00546685	JAX00116840	20	22462231	22732281	chr4	4.93701928186067
1561	1580	JAX00116842	JAX00222773	20	22775270	22909103	chr4	4.83750296752375
1581	1600	UNC6886649	UNC040389759	20	22917550	23213845	chr4	4.79368532536872
1601	1620	JAX00546761	JAX00546786	20	23239504	23530160	chr4	4.63116729488317
1621	1640	JAX00546787	JAX00546815	20	23530173	23798179	chr4	4.63368510533697
1641	1660	UNC6896203	JAX00116948	20	23809107	24208328	chr4	4.56519858141663
1661	1680	UNC6900485	JAX00546900	20	24238288	24513354	chr4	4.60489039988938
1681	1700	JAX00546901	JAX00222814	20	24516314	24656609	chr4	4.47065210241402
1701	1720	JAX00546931	JAX00546959	20	24681390	24912796	chr4	4.48472195864248
1721	1740	UNC6911422	UNC6916942	20	24935645	25363125	chr4	4.43552823278286
1741	1760	JAX00117039	JAX00117056	20	25437142	25654000	chr4	4.43246856742881
1761	1780	UNC040950492	JAX00547105	20	25674032	26124379	chr4	4.37265259863035
1781	1800	JAX00547106	JAX00117119	20	26133960	26513039	chr4	4.39065417816382
1801	1820	JAX00117121	JAX00547181	20	26517487	26821829	chr4	4.37898427807427
1821	1840	JAX00547186	JAX00117162	20	26828974	27112597	chr4	4.36935382442501
1841	1860	UNC6942410	JAX00547234	20	27129236	27422543	chr4	4.23314032562921
1861	1880	JAX00547235	JAX00547266	20	27422660	27666862	chr4	4.43558349360969
1881	1900	UNC6952078	UNC6954840	20	27668852	27887148	chr4	4.63843260254626
1901	1920	JAX00117222	JAX00547325	20	27906001	28291981	chr4	4.62376817418691
1921	1940	JAX00547327	JAX00117278	20	28292614	28617381	chr4	4.59040528524319
1941	1960	JAX00117279	UNC6970420	20	28618193	28872301	chr4	4.58131572546699
1961	1980	JAX00547405	JAX00547451	20	28879234	29214304	chr4	4.49977540473454
1981	2000	JAX00117322	JAX00547479	20	29215005	29383347	chr4	4.41685186861248
2001	2020	UNC6977255	JAX00547515	20	29392754	29721785	chr4	4.36978085157606
2021	2040	UNC6981880	JAX00547555	20	29750668	30012609	chr4	4.19846509562957
2041	2060	JAX00117383	UNC6989710	20	30018461	30337591	chr4	4.72970038019679
2061	2080	JAX00547600	JAX00547624	20	30345211	30544109	chr4	4.14841407790912
2081	2100	JAX00547625	JAX00547673	20	30569106	30837362	chr4	4.14579282082019
2101	2120	JAX00547675	JAX00222967	20	30847698	31108812	chr4	4.12653171142431
2121	2140	UNC6999969	JAX00117485	20	31111143	31379741	chr4	4.10846933967461
2141	2160	JAX00117486	JAX00547808	20	31380237	31959223	chr4	4.34029895375912
2161	2180	JAX00547811	UNC7011026	20	31965138	32184508	chr4	4.29742225230336
2181	2200	JAX00547842	JAX00547873	20	32201670	32426139	chr4	4.28753164104604
2201	2220	JAX00547874	JAX00117564	20	32439523	32670284	chr4	4.36797192587464
2221	2240	JAX00117565	UNC7020158	20	32688544	32895301	chr4	4.30463735934028
2241	2260	JAX00547941	JAX00117596	20	32897618	33107204	chr4	4.25965563716059
2261	2280	UNC7023891	JAX00117618	20	33109178	33380901	chr4	4.2330062318669
2281	2300	JAX00548036	JAX00117634	20	33380950	33617655	chr4	4.3081682289397
2301	2320	JAX00548067	JAX00548101	20	33639817	33841522	chr4	4.30948043355499
2321	2340	JAX00548102	JAX00117669	20	33841558	34057089	chr4	4.31983307134043
2341	2360	JAX00548128	JAX00548150	20	34058076	34375411	chr4	4.66141548888824
2361	2380	UNC7038917	JAX00117706	20	34398779	34568649	chr4	4.69907531597897
2381	2400	JAX00548183	JAX00548220	20	34576058	34815852	chr4	4.69827831050609
2401	2420	JAX00548221	JAX00548254	20	34816543	35053223	chr4	4.72641242015845
2421	2440	JAX00548259	JAX00117758	20	35063706	35257018	chr4	5.7654048415687
2441	2460	JAX00548279	JAX00117785	20	35283060	35631927	chr4	5.75865569475212
2461	2480	UNC7053104	JAX00548326	20	35637972	35794863	chr4	5.89054211571699
2481	2500	UNC7054890	JAX00548362	20	35804071	36108617	chr4	6.29502286813948
2501	2520	UNC7058021	JAX00117850	20	36130553	36500456	chr4	6.31847607298123
2521	2540	JAX00548395	JAX00117877	20	36527995	36862599	chr4	6.20174569136024
2541	2560	JAX00223096	JAX00548452	20	36869943	37205571	chr4	6.06396220533567
2561	2580	JAX00548456	JAX00117919	20	37206593	37431787	chr4	6.06069130493979
2581	2600	JAX00117920	JAX00548505	20	37431910	37692534	chr4	6.05705813903895
2601	2620	JAX00548507	UNC7078887	20	37695757	37993688	chr4	6.08335404988011
2621	2640	JAX00117961	UNC7079923	20	38018336	38121177	chr4	6.1732844747464
2641	2660	JAX00548550	UNC7083597	20	38126304	38431169	chr4	6.16618565688038
2661	2680	JAX00548587	JAX00548638	20	38443809	38900352	chr4	5.92649381864645
2681	2700	JAX00118029	JAX00548675	20	38909839	39189179	chr4	5.697209891439
2701	2720	JAX00548676	JAX00548741	20	39189736	39712959	chr4	5.67978349428958
2721	2740	JAX00118090	JAX00548777	20	39729507	40040385	chr4	6.21536803070278
2741	2760	UNC7105472	JAX00118135	20	40046973	40358299	chr4	6.21526104370884
2761	2780	JAX00548808	JAX00548835	20	40358691	40611565	chr4	5.90130174590843
2781	2800	JAX00548837	JAX00548860	20	40617382	40796367	chr4	5.65842225557072
2801	2820	JAX00118170	JAX00548874	20	40817572	40950115	chr4	5.61721385797787
2821	2840	UNC7118111	UNC7121342	20	40974481	41368022	chr4	5.74757407538665
2841	2860	JAX00223203	backupUNC040437864	20	41383931	41592879	chr4	6.67549104010126
2861	2880	JAX00548945	UNC040392781	20	41600891	42978459	chr4	6.12465642805202
2881	2900	JAX00549006	JAX00549051	20	42984246	43242336	chr4	6.2183199838314
2901	2920	JAX00549054	JAX00549089	20	43245121	43357354	chr4	6.37711832874948
2921	2940	JAX00118289	JAX00549196	20	43369695	43566745	chr4	6.22400209420741
2941	2960	JAX00118306	JAX00549250	20	43570799	43753311	chr4	6.42389805702506
2961	2980	JAX00549259	JAX00549307	20	43757272	43935557	chr4	6.41948668188628
2981	3000	JAX00549311	JAX00549374	20	43938531	44105616	chr4	6.01981221775384
3001	3020	JAX00549377	UNC7146541	20	44108120	44249908	chr4	6.09904259050327
3021	3040	JAX00118356	UNC7148638	20	44251983	44401950	chr4	5.97378229106628
3041	3060	JAX00549444	JAX00118383	20	44409233	44610748	chr4	5.99168727051312
3061	3080	JAX00549491	JAX00549541	20	44617055	44827353	chr4	6.06181374671699
3081	3100	JAX00549542	JAX00118414	20	44850871	45010210	chr4	6.43151419140857
3101	3120	JAX00549581	UNC7161099	20	45018089	45321226	chr4	6.47943239389262
3121	3140	JAX00118436	UNC7163501	20	45330537	45509567	chr4	6.58429950662435
3141	3160	JAX00118453	JAX00118472	20	45520060	45803994	chr4	6.4426136672824
3161	3180	JAX00549801	JAX00549850	20	45823374	45981969	chr4	6.3137855229878
3181	3200	JAX00118488	JAX00118508	20	46002995	46292922	chr4	6.21726244669562
3201	3220	JAX00549908	UNC7178792	20	46325038	46604329	chr4	5.95201466006336
3221	3240	UNC7179236	JAX00118547	20	46629785	46792940	chr4	4.99514455686146
3241	3260	JAX00550005	JAX00550041	20	46796707	46946987	chr4	4.8507262970944
3261	3280	UNC7184011	JAX00550077	20	46973342	47122236	chr4	4.49746156245464
3281	3300	JAX00550082	JAX00550103	20	47135515	47291352	chr4	4.73014499070562
3301	3320	JAX00118585	UNC7192317	20	47310915	47517863	chr4	4.72831445014371
3321	3340	JAX00550164	UNC7194639	20	47544724	47683761	chr4	4.72461813439186
3341	3360	JAX00550201	JAX00550225	20	47684243	47837275	chr4	4.80579378348695
3361	3380	JAX00550226	JAX00550265	20	47838721	48044913	chr4	4.83008097720701
3381	3400	JAX00550271	JAX00550291	20	48051299	48198062	chr4	4.77822476904644
3401	3420	UNC7200216	JAX00118670	20	48206592	48436719	chr4	4.96110565207363
3421	3440	JAX00118672	JAX00550363	20	48443009	48658323	chr4	5.04905138603523
3441	3460	JAX00550365	UNC7207180	20	48659571	48853305	chr4	5.05910039926374
3461	3480	JAX00550413	JAX00550444	20	48854293	49136848	chr4	5.10370863922551
3481	3500	JAX00550446	JAX00550475	20	49141763	49363633	chr4	4.709020151326
3501	3520	JAX00118741	JAX00118765	20	49364009	49697071	chr4	4.67751549108319
3521	3540	JAX00550540	JAX00550587	20	49707427	49920656	chr4	4.91340148520357
3541	3560	JAX00118781	JAX00550625	20	49921006	50108098	chr4	4.92151729498079
3561	3580	JAX00550627	JAX00118825	20	50114016	50501940	chr4	5.11354378781625
3581	3600	JAX00118826	JAX00550719	20	50514275	50827568	chr4	5.09715851535148
3601	3620	JAX00550723	JAX00223381	20	50851014	51110372	chr4	5.0621165317676
3621	3640	JAX00550767	JAX00550801	20	51156428	51416783	chr4	5.09714178514609
3641	3660	JAX00118894	JAX00550849	20	51421298	51807463	chr4	4.73833949787502
3661	3680	JAX00118924	JAX00550883	20	51810616	52166669	chr4	5.06270459918127
3681	3700	JAX00550892	JAX00550921	20	52188628	52483888	chr4	4.87318230319299
3701	3720	JAX00550924	JAX00223423	20	52489851	52718824	chr4	4.84943331021135
3721	3740	UNC040507075	JAX00550995	20	52733992	52922562	chr4	4.39666012837482
3741	3760	backupJAX00550998	JAX00119030	20	52925708	53249802	chr4	4.36362007501673
3761	3780	JAX00119031	JAX00551096	20	53250476	53487833	chr4	4.44719489549984
3781	3800	UNC7264714	JAX00551147	20	53491757	53762263	chr4	4.44332808428175
3801	3820	UNC7268611	JAX00551211	20	53790793	54082154	chr4	4.27986524907802
3821	3840	UNC7272345	JAX00551241	20	54088336	54337037	chr4	4.30368295122083
3841	3860	JAX00551245	JAX00551289	20	54339385	54533282	chr4	4.32608744646191
3861	3880	JAX00551290	JAX00119138	20	54537690	54677334	chr4	4.3574011318436
3881	3900	UNC7279541	JAX00551366	20	54678045	54775461	chr4	4.37118595020013
3901	3920	JAX00551369	JAX00551403	20	54780114	54971731	chr4	4.41923792730846
3921	3940	JAX00551405	JAX00119174	20	54972315	55156018	chr4	4.56729005714225
3941	3960	JAX00119176	UNC7288237	20	55189420	55352607	chr4	4.51091540031444
3961	3980	JAX00551463	JAX00119204	20	55353481	55558755	chr4	4.48382020906826
3981	4000	JAX00119205	JAX00551520	20	55559989	55691618	chr4	4.3981184764092
4001	4020	JAX00119214	JAX00119224	20	55693796	55824857	chr4	4.36877491751267
4021	4040	JAX00119225	JAX00551609	20	55849815	56036880	chr4	4.36696318845002
4041	4060	JAX00551610	JAX00551660	20	56037988	56226280	chr4	4.25189443889616
4061	4080	JAX00551662	JAX00551704	20	56227816	56382055	chr4	4.25606057880831
4081	4100	JAX00551705	JAX00119279	20	56384409	56519762	chr4	4.17760602921297
4101	4120	JAX00551735	JAX00223470	20	56532260	56798399	chr4	4.18201885410802
4121	4140	JAX00223471	JAX00551794	20	56799135	56965886	chr4	4.18457447656582
4141	4160	JAX00551796	JAX00119324	20	56973133	57120043	chr4	4.18432438869951
4161	4180	JAX00551836	JAX00119350	20	57127262	57457860	chr4	4.21053636057518
4181	4200	JAX00551891	JAX00551935	20	57504757	57717748	chr4	4.24406420505743
4201	4220	JAX00551936	JAX00551985	20	57731005	57879001	chr4	4.29345933618039
4221	4240	JAX00551987	JAX00119399	20	57896184	58118829	chr4	4.4074794620799
4241	4260	UNC7327383	JAX00119410	20	58120705	58277291	chr4	5.25642126574608
4261	4280	JAX00552079	UNC7333754	20	58277439	58530731	chr4	5.3391199131984
4281	4300	JAX00552133	JAX00119444	20	58532617	58739380	chr4	5.36240729695285
4301	4320	JAX00119445	JAX00552199	20	58740328	58929641	chr4	5.36783171245198
4321	4340	JAX00552200	JAX00552229	20	58929894	59111191	chr4	5.37247417125877
4341	4360	JAX00552232	UNC7345072	20	59120696	59383500	chr4	5.37932587695793
4361	4380	JAX00552275	JAX00552308	20	59393190	59654826	chr4	5.51440706077769
4381	4400	JAX00119513	JAX00223530	20	59658137	59840794	chr4	5.41940719217689
4401	4420	JAX00552337	UNC7351736	20	59854212	59944725	chr4	5.31401092491391
4421	4440	JAX00552380	JAX00119598	20	59945352	61850792	chr4	5.27805960951798
4441	4460	JAX00552451	JAX00119613	20	61852188	62036011	chr4	5.23798251918877
4461	4480	JAX00552474	JAX00119638	20	62037090	62384009	chr4	5.19891622779673
4481	4500	JAX00552526	UNC7363395	20	62390882	62630774	chr4	5.19634639787363
4501	4520	JAX00223571	UNC7365015	20	62631129	62769054	chr4	5.1900599100742
4521	4540	UNC7365523	backupJAX00119690	20	62802273	63073295	chr4	5.17541238524591
4541	4560	JAX00552683	JAX00119706	20	63081075	63284138	chr4	5.0926748416415
4561	4580	UNC7373082	UNC7375371	20	63288266	63469078	chr4	4.87723256905206
4581	4600	JAX00119720	JAX00552817	20	63471295	63632408	chr4	4.78139273672528
4601	4620	JAX00119733	UNC7379519	20	63648236	63785765	chr4	4.75402936278483
4621	4640	JAX00552866	UNC7383145	20	63814091	64030926	chr4	4.71719767436322
4641	4660	JAX00119761	UNC7385765	20	64035021	64241547	chr4	4.68628222327824
4661	4680	JAX00552957	JAX00223614	20	64255241	64439405	chr4	4.65950818826322
4681	4700	JAX00552998	JAX00119811	20	64462180	64676111	chr4	4.66417754834624
4701	4720	JAX00119812	JAX00553057	20	64697421	64986145	chr4	4.73240102305373
4721	4740	JAX00553060	UNC7395865	20	64987660	65193552	chr4	4.68429945398631
4741	4760	JAX00119850	JAX00119863	20	65195876	65375111	chr4	4.95972351295589
4761	4780	JAX00119864	JAX00553163	20	65393145	65665433	chr4	4.8593808466932
4781	4800	JAX00553164	JAX00553209	20	65667791	65863628	chr4	4.80017314471551
4801	4820	JAX00119900	JAX00553259	20	65867677	66046010	chr4	4.53704550702804
4821	4840	JAX00553260	JAX00553299	20	66047768	66189232	chr4	4.73290595355271
4841	4860	JAX00119923	JAX00553352	20	66198008	66523668	chr4	4.85106673562171
4861	4880	JAX00553353	JAX00553396	20	66523683	66718521	chr4	4.95625191505264
4881	4900	JAX00119964	UNC7418213	20	66725460	66967599	chr4	5.03946264883487
4901	4920	JAX00553448	JAX00553485	20	66970428	67286869	chr4	5.14239211039804
4921	4940	JAX00120005	UNC7427435	20	67292442	67524372	chr4	5.12404797856968
4941	4960	JAX00553532	JAX00120042	20	67529182	67764484	chr4	5.18794980293929
4961	4980	JAX00120045	JAX00120061	20	67794518	68030989	chr4	5.19224937204946
4981	5000	JAX00553592	UNC041806279	20	68041610	68417846	chr4	5.02300169335956
5001	5020	JAX00553659	JAX00553690	20	68429976	68565479	chr4	4.9946724319461
5021	5040	JAX00553691	JAX00553732	20	68567910	68778390	chr4	4.96648457612009
5041	5060	JAX00120119	JAX00553762	20	68795280	69018774	chr4	5.25749859708039
5061	5080	JAX00120137	JAX00553815	20	69039524	69305506	chr4	5.26947263757009
5081	5100	JAX00553817	JAX00553853	20	69306919	69529947	chr4	5.25713657242099
5101	5120	JAX00553856	JAX00553885	20	69541840	69667891	chr4	5.27974420830742
5121	5140	JAX00553887	JAX00120199	20	69673621	69872301	chr4	5.29500629968451
5141	5160	UNC7454205	JAX00553970	20	69882480	70037999	chr4	5.31404928611573
5161	5180	UNC7456199	backupJAX00554030	20	70038425	70334381	chr4	5.36845663721507
5181	5200	JAX00120237	UNC7464437	20	70394542	70671751	chr4	5.47574766147219
5201	5220	JAX00120258	UNC7469727	20	70673625	70990624	chr4	5.48670142115914
5221	5240	JAX00554109	JAX00554154	20	70995744	71320106	chr4	5.4977044840872
5241	5260	JAX00120307	JAX00554202	20	71348472	71675051	chr4	5.43109691533584
5261	5280	JAX00120333	JAX00554250	20	71677325	71826418	chr4	5.04345267612264
5281	5300	JAX00554252	JAX00120356	20	71827398	71990557	chr4	5.04617894118364
5301	5320	JAX00554286	JAX00120377	20	72028058	72273352	chr4	5.0948555816289
5321	5340	JAX00554335	JAX00554373	20	72313940	72514815	chr4	5.24922949315228
