from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
6141	6160	UNC3350536	JAX00096040	20	75352359	75518588	chr2	0.688019683690701	0.25	1.005
6161	6180	JAX00096042	UNC3354884	20	75545461	75686410	chr2	0.744054369591393	0.205	1.005
6181	6200	JAX00096053	JAX00493527	20	75693351	75833281	chr2	0.574111161069798	0.3	1.005
6201	6220	JAX00493531	JAX00096071	20	75835767	75942509	chr2	0.512397707929837	0.33	1.005
6221	6240	JAX00493567	JAX00493607	20	75943246	76183813	chr2	0.511166318525437	0.33	1.005
6241	6260	JAX00493608	UNC3364377	20	76184363	76284372	chr2	0.475887497276018	0.345	1.005
6261	6280	JAX00493636	JAX00493688	20	76284649	76430183	chr2	0.456150538181806	0.355	1.005
6281	6300	JAX00493689	JAX00493720	20	76433122	76613617	chr2	0.404207969110955	0.39	1.005
6301	6320	JAX00493721	JAX00493756	20	76614921	76836421	chr2	0.351139058056675	0.445	1.005
6321	6340	UNC3371171	JAX00493796	20	76860361	77007630	chr2	0.35872482864194	0.44	1.005
6341	6360	JAX00096153	JAX00096169	20	77019840	77252685	chr2	0.385147654266429	0.415	1.005
6361	6380	UNC3375878	JAX00493886	20	77269353	77393731	chr2	0.532829350417276	0.305	1.005
6381	6400	JAX00493892	UNC3380410	20	77404467	77597306	chr2	0.499437563856615	0.345	1.005
6401	6420	JAX00493938	JAX00096211	20	77604056	77830619	chr2	0.495263230970916	0.345	1.005
6421	6440	JAX00494004	JAX00494049	20	77859421	78083418	chr2	0.488878772226652	0.345	1.005
6441	6460	JAX00494057	JAX00494100	20	78087809	78233532	chr2	0.48522334744643	0.345	1.005
6461	6480	UNC3388473	JAX00494135	20	78233824	78403398	chr2	0.482132741016905	0.345	1.005
6481	6500	JAX00494141	JAX00096268	20	78407415	78578177	chr2	0.478882304770239	0.345	1.005
6501	6520	UNC3393084	JAX00494245	20	78578898	78837069	chr2	0.463147871604999	0.365	1.005
6521	6540	JAX00096289	JAX00494286	20	78861739	79085083	chr2	0.378768815604982	0.465	1.005
6541	6560	JAX00494290	JAX00494328	20	79089324	79353915	chr2	0.388290958894025	0.445	1.005
6561	6580	JAX00494329	JAX00217109	20	79354091	79634668	chr2	0.30182730988408	0.575	1.005
6581	6600	backupUNC020413615	JAX00494426	20	79635109	79946365	chr2	0.301397756984092	0.58	1.005
6601	6620	JAX00096372	JAX00217119	20	79946446	80115615	chr2	0.257671032164168	0.61	1.005
6621	6640	JAX00096388	UNC3415704	20	80168479	80481413	chr2	0.310334396937535	0.575	1.005
6641	6660	JAX00217128	JAX00096427	20	80494056	80692434	chr2	0.368278430634035	0.465	1.005
6661	6680	JAX00494516	JAX00096446	20	80722891	80941662	chr2	0.40089289263923	0.44	1.005
6681	6700	JAX00494555	JAX00494592	20	80975727	81165490	chr2	0.404689881852705	0.44	1.005
6701	6720	UNC020416650	JAX00494634	20	81173771	81424281	chr2	0.408026381993377	0.44	1.005
6721	6740	JAX00096484	JAX00494676	20	81447117	81624804	chr2	0.442994403908027	0.385	1.005
6741	6760	JAX00096502	JAX00096520	20	81698495	81949106	chr2	0.46037040204126	0.385	1.005
6761	6780	JAX00096525	JAX00494748	20	81992193	82258819	chr2	0.406858288243806	0.395	1.005
6781	6800	JAX00494750	JAX00096558	20	82277972	82417835	chr2	0.405801922435102	0.385	1.005
6801	6820	JAX00494777	JAX00096583	20	82442227	82781216	chr2	0.391977490599612	0.41	1.005
6821	6840	JAX00494807	JAX00494849	20	82788604	83058090	chr2	0.517201111260393	0.305	1.005
6841	6860	JAX00096603	JAX00494894	20	83059396	83332897	chr2	0.535948959880056	0.295	1.005
6861	6880	JAX00096626	JAX00494942	20	83346936	83628860	chr2	0.583742881132245	0.245	1.005
6881	6900	JAX00494945	JAX00096671	20	83631084	84013951	chr2	0.537485289154981	0.305	1.005
6901	6920	JAX00494990	JAX00096693	20	84026053	84294887	chr2	0.524996832197723	0.3	1.005
6921	6940	JAX00495035	UNC020423988	20	84321906	84541308	chr2	0.641201147936663	0.195	1.005
6941	6960	JAX00495089	JAX00495140	20	84556531	84839291	chr2	0.596121566072766	0.25	1.005
6961	6980	JAX00096734	JAX00096747	20	84856718	85016595	chr2	0.58402920015691	0.245	1.005
6981	7000	JAX00096748	JAX00495240	20	85016825	85125374	chr2	0.482613928962482	0.34	1.005
7001	7020	JAX00495245	JAX00096781	20	85156257	85448321	chr2	0.464396173561156	0.35	1.005
7021	7040	JAX00217237	JAX00495327	20	85450252	85615111	chr2	0.463034541826767	0.35	1.005
7041	7060	JAX00096793	JAX00495374	20	85616496	85823150	chr2	0.488893977080753	0.29	1.005
7061	7080	JAX00217241	JAX00495441	20	85838160	86281752	chr2	0.500060578089797	0.325	1.005
7081	7100	JAX00495463	JAX00495502	20	86365454	86669202	chr2	0.48290945260078	0.335	1.005
7101	7120	JAX00495504	JAX00495558	20	86670052	86911771	chr2	0.515666401957515	0.31	1.005
7121	7140	JAX00495559	UNC3481215	20	86915037	87237740	chr2	0.511992815833368	0.3	1.005
7141	7160	JAX00495621	JAX00495696	20	87259489	87710920	chr2	0.523694725244991	0.27	1.005
7161	7180	UNC3486145	JAX00495760	20	87760826	88308933	chr2	0.522150047927191	0.29	1.005
7181	7200	JAX00495762	JAX00189011	20	88315407	88751679	chr2	0.527273982299698	0.29	1.005
7201	7220	UNC3495996	UNC3498682	20	88752733	89132425	chr2	0.499925834421367	0.315	1.005
7221	7240	JAX00097052	JAX00495921	20	89143014	89671160	chr2	0.513124101904701	0.315	1.005
7241	7260	UNC3501939	JAX00495990	20	89685212	90309455	chr2	0.35524558387366	0.505	1.005
7261	7280	UNC3505489	JAX00496032	20	90318952	90477829	chr2	0.166678985402672	0.725	1.005
7281	7300	JAX00097141	JAX00496072	20	90498548	90747082	chr2	0.160464512039604	0.745	1.005
7301	7320	UNC3508919	UNC020443364	20	90766923	90967737	chr2	0.158315493489599	0.75	1.005
7321	7340	JAX00097178	JAX00496160	20	90972263	91378376	chr2	0.155737179568392	0.77	1.005
7341	7360	JAX00496161	JAX00496196	20	91379420	91662148	chr2	0.0681050660206138	0.875	1.005
7361	7380	JAX00496197	JAX00496260	20	91664542	91913291	chr2	0.0459365358134037	0.915	1.005
7381	7400	JAX00496264	JAX00496299	20	91942354	92157328	chr2	0.0474545974680533	0.91	1.005
7401	7420	JAX00097267	JAX00496336	20	92162180	92341483	chr2	0.147422737287683	0.75	1.005
7421	7440	JAX00496338	UNC3525493	20	92346474	92545350	chr2	0.274073802032594	0.525	1.005
7441	7460	JAX00496394	JAX00496433	20	92599015	92713028	chr2	0.275272042307579	0.525	1.005
7461	7480	JAX00496435	JAX00496478	20	92713853	92825445	chr2	0.347286224264294	0.44	1.005
7481	7500	JAX00496482	JAX00496530	20	92839639	92998227	chr2	0.36629852281932	0.425	1.005
7501	7520	JAX00496532	JAX00097345	20	92998981	93202625	chr2	0.366440211159601	0.42	1.005
7521	7540	JAX00097346	UNC3538767	20	93202785	93451453	chr2	0.444701011791411	0.41	1.005
7541	7560	JAX00097364	JAX00496698	20	93461700	93588464	chr2	0.55293406770404	0.28	1.005
7561	7580	JAX00496701	UNC3544166	20	93590807	93835076	chr2	0.552350499512507	0.285	1.005
7581	7600	UNC3544590	JAX00496821	20	93865289	94093193	chr2	0.393871709102128	0.415	1.005
7601	7620	JAX00097413	JAX00496869	20	94094472	94230875	chr2	0.328393998906462	0.49	1.005
7621	7640	UNC3549490	JAX00496893	20	94242329	94364782	chr2	0.279855298200629	0.555	1.005
7641	7660	JAX00496896	JAX00496936	20	94365262	94635432	chr2	0.273702688170165	0.57	1.005
7661	7680	JAX00496937	JAX00496980	20	94639394	94962061	chr2	0.255693812815945	0.57	1.005
7681	7700	JAX00097477	JAX00497018	20	94967633	95283424	chr2	0.259277027404051	0.57	1.005
7701	7720	JAX00217451	JAX00497068	20	95293398	95671995	chr2	0.26411526606941	0.57	1.005
7721	7740	JAX00497070	JAX00497119	20	95694954	96006901	chr2	0.344111958482986	0.47	1.005
7741	7760	JAX00497122	JAX00097568	20	96007879	96224433	chr2	0.310295107041299	0.53	1.005
7761	7780	JAX00497166	JAX00217475	20	96229717	96463327	chr2	0.368735076109449	0.44	1.005
7781	7800	JAX00497195	JAX00097602	20	96472446	96663468	chr2	0.474251557949153	0.33	1.005
7801	7820	UNC020114284	backupUNC020115641	20	96682383	96987076	chr2	0.472132616415382	0.335	1.005
7821	7840	JAX00217489	JAX00217497	20	96998592	97318005	chr2	0.311267054448347	0.525	1.005
7841	7860	JAX00497336	JAX00497366	20	97339975	97558102	chr2	0.257738875724198	0.595	1.005
7861	7880	UNC3589801	JAX00189019	20	97629913	97910999	chr2	0.219872676037004	0.655	1.005
7881	7900	JAX00497422	JAX00497459	20	97937357	98299048	chr2	0.211280513953699	0.67	1.005
7901	7920	JAX00097725	JAX00497511	20	98316013	98789034	chr2	0.193725059865398	0.69	1.005
7921	7940	JAX00497520	JAX00497557	20	98934607	99250453	chr2	0.148240343371511	0.75	1.005
7941	7960	JAX00217546	JAX00497590	20	99288441	99532165	chr2	0.122979974176636	0.78	1.005
7961	7980	JAX00189021	JAX00497613	20	99532940	99693633	chr2	0.121439369232338	0.785	1.005
7981	8000	JAX00497614	UNC020122133	20	99693673	100032236	chr2	0.108809385580361	0.795	1.005
8001	8020	JAX00497654	backupUNC020586289	20	100039989	100649222	chr2	0.122274701653988	0.775	1.005
8021	8040	JAX00497694	JAX00497730	20	100652264	100868904	chr2	0.142238998996849	0.74	1.005
8041	8060	JAX00097890	JAX00497770	20	100884723	101119805	chr2	0.142329958244517	0.74	1.005
8061	8080	JAX00497771	JAX00497801	20	101119844	101289938	chr2	0.15393837638668	0.735	1.005
8081	8100	JAX00497803	JAX00497845	20	101302350	101538974	chr2	0.183526855925857	0.715	1.005
8101	8120	JAX00497847	JAX00497885	20	101546889	101662100	chr2	0.188853634401623	0.71	1.005
8121	8140	UNC3645479	JAX00497928	20	101684896	101828036	chr2	0.195162292648846	0.69	1.005
8141	8160	UNC3648493	UNC3651597	20	101858135	102039878	chr2	0.20202248047346	0.67	1.005
8161	8180	JAX00498007	JAX00097989	20	102042431	102214174	chr2	0.209770454772719	0.66	1.005
8181	8200	JAX00498048	UNC3657322	20	102214380	102420730	chr2	0.345355799845938	0.485	1.005
8201	8220	JAX00498074	JAX00498113	20	102421864	102512676	chr2	0.537011805704841	0.3	1.005
8221	8240	JAX00498114	JAX00498150	20	102512736	102620810	chr2	0.543895947851271	0.295	1.005
8241	8260	UNC3660981	JAX00498185	20	102630731	102774551	chr2	0.555324118250352	0.285	1.005
8261	8280	JAX00498188	JAX00098043	20	102775896	102933724	chr2	1.19369954715393	0.05	1.005
8281	8300	UNC3664753	JAX00098060	20	102949575	103158299	chr2	1.25921110270473	0.035	1.005
8301	8320	UNC3667138	JAX00498285	20	103179039	103290195	chr2	0.959983243673037	0.085	1.005
8321	8340	JAX00498290	JAX00498329	20	103299207	103435234	chr2	0.87089072190389	0.13	1.005
8341	8360	JAX00498335	JAX00098092	20	103447938	103562568	chr2	0.869659174270154	0.13	1.005
8361	8380	JAX00498376	JAX00498420	20	103564891	103769445	chr2	0.775743905355997	0.155	1.005
8381	8400	UNC3674043	UNC3676662	20	103769816	103983988	chr2	0.716081017031677	0.19	1.005
8401	8420	JAX00498475	UNC3679024	20	103988422	104116827	chr2	0.706929057935992	0.205	1.005
8421	8440	JAX00498523	JAX00098141	20	104117858	104253690	chr2	0.701744413590488	0.215	1.005
8441	8460	JAX00098142	backupUNC020473871	20	104253709	104416711	chr2	0.72796761631677	0.2	1.005
8461	8480	JAX00098155	JAX00498630	20	104422893	104695517	chr2	0.701187648504453	0.2	1.005
8481	8500	JAX00498631	JAX00098188	20	104695982	104858784	chr2	0.702235881545754	0.205	1.005
8501	8520	JAX00498670	JAX00498717	20	104861186	105006799	chr2	0.701452749466764	0.215	1.005
8521	8540	JAX00498718	JAX00498770	20	105006825	105144814	chr2	0.701798407776337	0.21	1.005
8541	8560	JAX00498772	JAX00498808	20	105145484	105323522	chr2	0.697164324030982	0.21	1.005
8561	8580	JAX00498809	UNC3695848	20	105323742	105497644	chr2	0.718783435771259	0.195	1.005
8581	8600	JAX00498837	JAX00098253	20	105531923	105731959	chr2	0.763686157245894	0.18	1.005
8601	8620	UNC3697501	UNC3699228	20	105763190	105937998	chr2	0.779835332117304	0.17	1.005
8621	8640	JAX00498890	JAX00498917	20	105949638	106067897	chr2	0.727758361722893	0.205	1.005
8641	8660	JAX00498918	JAX00498960	20	106068847	106225023	chr2	0.729325632519313	0.205	1.005
8661	8680	JAX00098291	UNC3705366	20	106258935	106401259	chr2	0.731353481609234	0.205	1.005
8681	8700	UNC3705476	UNC3707278	20	106413946	106565551	chr2	0.733031581943304	0.21	1.005
8701	8720	JAX00098316	UNC3708782	20	106567750	106684899	chr2	0.734528156757839	0.21	1.005
8721	8740	JAX00098326	JAX00098332	20	106691890	106789008	chr2	0.750941659770373	0.2	1.005
8741	8760	JAX00098333	JAX00499144	20	106799572	106993962	chr2	0.900967142727331	0.105	1.005
8761	8780	JAX00217680	JAX00098367	20	106999941	107250345	chr2	0.97890719048766	0.08	1.005
8781	8800	UNC3715557	UNC3717893	20	107251893	107457828	chr2	0.920405677325837	0.085	1.005
8801	8820	JAX00499219	JAX00098403	20	107460554	107746807	chr2	0.740597525688602	0.165	1.005
8821	8840	JAX00098404	UNC3724966	20	107751107	108047046	chr2	0.735133282404659	0.165	1.005
8841	8860	JAX00098428	JAX00098446	20	108063381	108314998	chr2	0.737813066599242	0.17	1.005
8861	8880	JAX00499362	JAX00217720	20	108315039	108585775	chr2	0.782788766140576	0.155	1.005
8881	8900	JAX00499390	JAX00217731	20	108601272	109030960	chr2	0.686050702980548	0.195	1.005
8901	8920	JAX00499435	JAX00098532	20	109040809	109462958	chr2	0.555759260178662	0.26	1.005
8921	8940	JAX00499482	JAX00217751	20	109463052	109693215	chr2	0.499781516917718	0.315	1.005
8941	8960	JAX00499516	JAX00499543	20	109698360	109806194	chr2	0.511712893191481	0.29	1.005
8961	8980	JAX00499551	JAX00499595	20	109824929	110055607	chr2	0.508888313126586	0.305	1.005
8981	9000	UNC3744236	JAX00499625	20	110103942	110257827	chr2	0.483946381005773	0.315	1.005
9001	9020	JAX00499626	UNC3747945	20	110257890	110463192	chr2	0.434472956808304	0.36	1.005
9021	9040	JAX00499646	JAX00098628	20	110479586	110738061	chr2	0.433169870501936	0.36	1.005
9041	9060	JAX00499682	UNC3755167	20	110753766	111104497	chr2	0.426647972463646	0.365	1.005
9061	9080	JAX00499716	JAX00098691	20	111113432	111570084	chr2	0.410682299950013	0.41	1.005
9081	9100	UNC020137208	JAX00098711	20	111592405	111872136	chr2	0.414353287620466	0.4	1.005
9101	9120	UNC020138994	JAX00499843	20	111891298	112127570	chr2	0.409901007769621	0.4	1.005
9121	9140	JAX00098735	JAX00098760	20	112174070	112492311	chr2	0.387716357835929	0.44	1.005
9141	9160	JAX00499895	JAX00499922	20	112492534	112764070	chr2	0.374842721104739	0.43	1.005
9161	9180	JAX00098780	JAX00098803	20	112775595	113068551	chr2	0.381550442016713	0.425	1.005
9181	9200	JAX00499978	JAX00098819	20	113076480	113286110	chr2	0.340955546810148	0.485	1.005
9201	9220	JAX00500026	JAX00500061	20	113290570	113457084	chr2	0.353670847010055	0.465	1.005
9221	9240	JAX00500062	UNC3777847	20	113469448	113633717	chr2	0.384339449281049	0.39	1.005
9241	9260	JAX00500096	UNC3780649	20	113640802	113898511	chr2	0.563113835736929	0.255	1.005
9261	9280	JAX00500134	JAX00500181	20	113910279	114002546	chr2	0.384531328556324	0.4	1.005
9281	9300	JAX00500183	JAX00500220	20	114014152	114184300	chr2	0.380204449954483	0.43	1.005
9301	9320	JAX00500222	JAX00500250	20	114186169	114361414	chr2	0.397188565438742	0.42	1.005
9321	9340	JAX00098894	JAX00189045	20	114382634	114574487	chr2	0.398072428283708	0.42	1.005
9341	9360	UNC3788731	JAX00500298	20	114582420	114702755	chr2	0.434541574325156	0.395	1.005
9361	9380	JAX00098920	JAX00500336	20	114723966	114925915	chr2	0.3955069407432	0.415	1.005
9381	9400	JAX00098935	JAX00500369	20	114927040	115097067	chr2	0.395798119827241	0.41	1.005
9401	9420	UNC3794787	JAX00500398	20	115129868	115297975	chr2	0.444707563696279	0.385	1.005
9421	9440	JAX00098965	JAX00098980	20	115314778	115528879	chr2	0.460690078795261	0.33	1.005
9441	9460	UNC3799263	JAX00098995	20	115545264	115726087	chr2	0.494928570569776	0.31	1.005
9461	9480	UNC3801505	JAX00500525	20	115741160	115918582	chr2	0.526130435761766	0.31	1.005
9481	9500	JAX00099009	JAX00500559	20	115924965	116041131	chr2	0.713814934844796	0.195	1.005
9501	9520	UNC3804781	JAX00500596	20	116044752	116265662	chr2	0.75034571980726	0.185	1.005
9521	9540	JAX00500603	JAX00500657	20	116267407	116580895	chr2	0.694839281915739	0.225	1.005
9541	9560	JAX00500658	UNC3812685	20	116581036	116774238	chr2	0.796846670025032	0.135	1.005
9561	9580	JAX00099074	JAX00500723	20	116815777	116989356	chr2	0.862519027593262	0.12	1.005
9581	9600	JAX00099088	JAX00500783	20	117005871	117212697	chr2	0.861319866728622	0.12	1.005
9601	9620	JAX00500784	UNC3820213	20	117212716	117362683	chr2	0.860300530288432	0.12	1.005
9621	9640	UNC3820849	JAX00099130	20	117407784	117558317	chr2	0.803343407796562	0.14	1.005
9641	9660	JAX00500874	JAX00500912	20	117569231	117664662	chr2	0.538637180893468	0.275	1.005
9661	9680	JAX00500915	JAX00099150	20	117667406	117818797	chr2	0.538549345796858	0.275	1.005
9681	9700	UNC3825781	JAX00500996	20	117819142	117975607	chr2	0.511000302533911	0.285	1.005
9701	9720	JAX00501001	JAX00501038	20	117984234	118139732	chr2	0.673495873147461	0.2	1.005
9721	9740	JAX00501039	UNC3833893	20	118153047	118438465	chr2	0.857442766962489	0.13	1.005
9741	9760	JAX00501096	JAX00099210	20	118448999	118633432	chr2	0.752818542404322	0.16	1.005
9761	9780	JAX00501134	JAX00099231	20	118642598	118913888	chr2	0.677405590773463	0.185	1.005
9781	9800	JAX00099232	JAX00501223	20	118928759	119170141	chr2	0.807202189926176	0.15	1.005
9801	9820	UNC3841071	JAX00099271	20	119184293	119443988	chr2	0.844934369716259	0.115	1.005
9821	9840	JAX00501269	JAX00501299	20	119447576	119644662	chr2	0.807337073712425	0.155	1.005
9841	9860	JAX00501301	JAX00501341	20	119649285	119873019	chr2	0.803661215606511	0.155	1.005
9861	9880	JAX00501342	JAX00501377	20	119876314	120008497	chr2	0.889145982090013	0.1	1.005
9881	9900	JAX00501381	JAX00501420	20	120020071	120208731	chr2	0.85461096663921	0.105	1.005
9901	9920	JAX00099329	JAX00099344	20	120215231	120432571	chr2	0.80465990523774	0.125	1.005
9921	9940	JAX00099346	JAX00099361	20	120445887	120648548	chr2	1.17818634270415	0.065	1.005
9941	9960	UNC3855004	JAX00099374	20	120651242	120831409	chr2	1.02155339753543	0.09	1.005
9961	9980	UNC3856631	JAX00501543	20	120838093	121019459	chr2	0.847632816012743	0.12	1.005
9981	10000	UNC3858337	UNC3859888	20	121038057	121282639	chr2	0.84778336893303	0.12	1.005
10001	10020	JAX00099410	JAX00099428	20	121333482	121551726	chr2	0.82881838588994	0.12	1.005
10021	10040	JAX00501614	JAX00501647	20	121552384	121757449	chr2	0.987488169880972	0.07	1.005
10041	10060	JAX00501649	JAX00099461	20	121768667	121977994	chr2	1.00525412263569	0.07	1.005
10061	10080	UNC020320268	JAX00501712	20	121989069	122284500	chr2	1.12091202509586	0.065	1.005
10081	10100	UNC3871206	JAX00099508	20	122292163	122602592	chr2	1.11937245950717	0.06	1.005
10101	10120	JAX00099509	JAX00501793	20	122634338	122876209	chr2	0.899276611731744	0.095	1.005
10121	10140	UNC3878189	JAX00501829	20	122923005	123139097	chr2	0.866004581447344	0.08	1.005
10141	10160	JAX00501830	JAX00099567	20	123146101	123403693	chr2	0.868019144807306	0.085	1.005
10161	10180	JAX00099568	JAX00099587	20	123403801	123667313	chr2	0.886456448369837	0.11	1.005
10181	10200	JAX00501927	JAX00501981	20	123691684	123948882	chr2	0.882578781737122	0.12	1.005
10201	10220	UNC3890514	JAX00502019	20	123950672	124132478	chr2	0.882792604786813	0.115	1.005
10221	10240	JAX00502020	JAX00502071	20	124132506	124339960	chr2	0.882827382807613	0.115	1.005
10241	10260	JAX00502076	JAX00099653	20	124348496	124534715	chr2	0.901693804323361	0.135	1.005
10261	10280	JAX00502127	JAX00502177	20	124546873	124799478	chr2	1.19637386766843	0.07	1.005
10281	10300	UNC3901296	JAX00099685	20	124799660	124961373	chr2	1.2234990819045	0.065	1.005
10301	10320	JAX00099687	JAX00099701	20	125002025	125187850	chr2	1.19876883565501	0.07	1.005
10321	10340	JAX00099702	JAX00502295	20	125187915	125403712	chr2	1.16691192219941	0.07	1.005
10341	10360	JAX00502297	UNC3912355	20	125408059	125615384	chr2	1.16132455573902	0.07	1.005
10361	10380	UNC020352014	JAX00502379	20	125628902	125829109	chr2	1.17271980332754	0.06	1.005
10381	10400	JAX00502384	JAX00099767	20	125832370	126072310	chr2	1.21672382722145	0.055	1.005
10401	10420	UNC3916578	JAX00099790	20	126077866	126353810	chr2	1.23379444632254	0.05	1.005
10421	10440	JAX00502471	JAX00502504	20	126406539	126621853	chr2	1.23867800928064	0.045	1.005
10441	10460	JAX00099811	JAX00099826	20	126647518	126853268	chr2	1.23162061386602	0.045	1.005
10461	10480	JAX00502541	JAX00502594	20	126853672	127052277	chr2	1.22870663361481	0.035	1.005
10481	10500	JAX00502595	UNC3929473	20	127054219	127236263	chr2	1.25183624555627	0.025	1.005
10501	10520	JAX00502647	JAX00502703	20	127238871	127372650	chr2	1.3363244965755	0.015	1.005
10521	10540	JAX00099867	JAX00502751	20	127385457	127671122	chr2	1.33446919778039	0.015	1.005
10541	10560	JAX00099887	JAX00502777	20	127671741	127801350	chr2	1.33331479494765	0.015	1.005
10561	10580	JAX00502778	UNC3938202	20	127801895	127954281	chr2	1.32933503058064	0.01	1.005
10581	10600	JAX00099909	JAX00502826	20	127962561	128041133	chr2	1.09433414088469	0.065	1.005
10601	10620	JAX00099916	JAX00502875	20	128052596	128156856	chr2	0.997526733882597	0.085	1.005
10621	10640	JAX00502876	JAX00502913	20	128156934	128291739	chr2	0.989337731014299	0.08	1.005
10641	10660	JAX00099934	UNC3943522	20	128291949	128372941	chr2	0.966971852460088	0.095	1.005
10661	10680	JAX00502958	JAX00502991	20	128393924	128518700	chr2	0.924607797914416	0.11	1.005
10681	10700	JAX00099951	JAX00099959	20	128518736	128632723	chr2	0.922418434261685	0.11	1.005
10701	10720	UNC3946840	JAX00503072	20	128637036	128720638	chr2	0.845671528507232	0.13	1.005
10721	10740	JAX00503073	backupUNC020191297	20	128721154	128895717	chr2	0.838171890478177	0.135	1.005
10741	10760	JAX00503107	JAX00099991	20	128899009	129048697	chr2	0.854778881008834	0.12	1.005
10761	10780	UNC3951821	UNC3953516	20	129058941	129203228	chr2	0.749750272799372	0.145	1.005
10781	10800	JAX00503194	UNC3955453	20	129210921	129364742	chr2	0.735191879634619	0.155	1.005
10801	10820	JAX00503231	JAX00503279	20	129367109	129450494	chr2	0.758748497178426	0.145	1.005
10821	10840	JAX00503280	JAX00503329	20	129451345	129585717	chr2	0.770053233044413	0.155	1.005
10841	10860	JAX00503331	JAX00503403	20	129601836	129815577	chr2	0.791438239567691	0.145	1.005
10861	10880	JAX00503412	JAX00100060	20	129820606	129963556	chr2	0.788769171481267	0.155	1.005
10881	10900	JAX00503511	JAX00100068	20	129969799	130069931	chr2	1.0386488192619	0.08	1.005
10901	10920	JAX00503553	JAX00503615	20	130070165	130265330	chr2	0.899788453498886	0.11	1.005
10921	10940	JAX00100082	UNC3969151	20	130285598	130444479	chr2	0.829529814259186	0.125	1.005
10941	10960	JAX00100099	JAX00503695	20	130480843	130677092	chr2	0.809112838847615	0.135	1.005
10961	10980	JAX00100114	UNC3973320	20	130685845	130888643	chr2	1.0354901487097	0.085	1.005
10981	11000	JAX00100130	JAX00100144	20	130910030	131082886	chr2	1.16084992809445	0.055	1.005
11001	11020	JAX00100147	backupUNC020195558	20	131114061	131319338	chr2	1.13386712058358	0.055	1.005
11021	11040	JAX00503815	JAX00503874	20	131328056	131585633	chr2	0.844511417850621	0.1	1.005
11041	11060	JAX00503877	JAX00503923	20	131593712	131816817	chr2	1.00954786888867	0.085	1.005
11061	11080	JAX00503926	JAX00503990	20	131818710	132046810	chr2	0.909571218551573	0.115	1.005
11081	11100	JAX00100217	JAX00100233	20	132060646	132281246	chr2	0.888768443453038	0.12	1.005
11101	11120	JAX00100235	UNC3994876	20	132309302	132525720	chr2	0.768145107819575	0.15	1.005
11121	11140	JAX00218185	JAX00504136	20	132534885	132732620	chr2	0.726303746138387	0.16	1.005
11141	11160	UNC3998252	JAX00504213	20	132742852	133018878	chr2	0.719103370969015	0.155	1.005
11161	11180	JAX00218197	JAX00100302	20	133035003	133212553	chr2	0.719159025604792	0.155	1.005
11181	11200	backupUNC020199629	JAX00504307	20	133216246	133510887	chr2	0.721705818921248	0.155	1.005
11201	11220	UNC4009024	UNC4011842	20	133537937	133780512	chr2	0.770419043845986	0.125	1.005
11221	11240	JAX00218219	JAX00504370	20	133807445	133968900	chr2	0.687441069916534	0.155	1.005
11241	11260	JAX00504371	JAX00504417	20	133970164	134208190	chr2	0.663545123889877	0.145	1.005
11261	11280	JAX00504418	JAX00218237	20	134220177	134382248	chr2	0.677406701216144	0.125	1.005
11281	11300	JAX00504449	JAX00100409	20	134388210	134623119	chr2	0.676489198730311	0.12	1.005
11301	11320	JAX00100410	JAX00504515	20	134623760	134784579	chr2	0.685723003641415	0.125	1.005
11321	11340	JAX00504516	JAX00218252	20	134787197	134962897	chr2	0.703077480893785	0.125	1.005
11341	11360	JAX00100434	JAX00504613	20	134965269	135198503	chr2	0.72335765704746	0.125	1.005
11361	11380	JAX00504614	JAX00504644	20	135198571	135430789	chr2	0.841799372800839	0.1	1.005
11381	11400	JAX00100469	UNC4035295	20	135431879	135599547	chr2	1.09483074773569	0.055	1.005
11401	11420	JAX00100483	UNC4036610	20	135603531	135704967	chr2	1.10247383024947	0.055	1.005
11421	11440	UNC4036687	JAX00504736	20	135711256	135974253	chr2	1.10864633155208	0.06	1.005
11441	11460	JAX00504737	JAX00100537	20	135974300	136314575	chr2	0.984027743220287	0.065	1.005
11461	11480	backuprs27256987	JAX00100553	20	136339478	136553825	chr2	1.022299890136	0.08	1.005
11481	11500	JAX00504815	JAX00504855	20	136564553	136820422	chr2	0.948608909248007	0.08	1.005
11501	11520	UNC4049749	JAX00504888	20	136824280	137021774	chr2	1.00750191640791	0.07	1.005
11521	11540	JAX00504890	JAX00504924	20	137024887	137263951	chr2	0.833961301713825	0.115	1.005
11541	11560	JAX00100607	UNC4056331	20	137271380	137513744	chr2	0.729653603660004	0.145	1.005
11561	11580	JAX00100625	JAX00504980	20	137516997	137759126	chr2	0.723733920453435	0.135	1.005
11581	11600	JAX00504982	JAX00505014	20	137759981	137940366	chr2	0.681377198045086	0.16	1.005
11601	11620	JAX00505015	JAX00505062	20	137943192	138297546	chr2	0.494649892258037	0.235	1.005
11621	11640	JAX00218340	JAX00100708	20	138309778	138606198	chr2	0.52527287091139	0.265	1.005
11641	11660	JAX00100710	JAX00505136	20	138641789	138897710	chr2	0.544653720645416	0.245	1.005
11661	11680	JAX00505138	JAX00100743	20	138914749	139074086	chr2	0.561241797287325	0.22	1.005
11681	11700	JAX00505162	UNC4079237	20	139074282	139304316	chr2	0.691709544966509	0.165	1.005
